GEO_ID,NAME,S1701_C02_001E
id,Geographic Area Name,Estimate!!Below poverty level!!Population for whom poverty status is determined
48377,"Presidio County, Texas",2717
48379,"Rains County, Texas",1510
48381,"Randall County, Texas",11104
48383,"Reagan County, Texas",357
48385,"Real County, Texas",780
48387,"Red River County, Texas",2352
48389,"Reeves County, Texas",2033
48391,"Refugio County, Texas",1148
48393,"Roberts County, Texas",93
48395,"Robertson County, Texas",2356
48397,"Rockwall County, Texas",4579
48399,"Runnels County, Texas",1518
48401,"Rusk County, Texas",5769
48403,"Sabine County, Texas",2076
48405,"San Augustine County, Texas",1995
48407,"San Jacinto County, Texas",4238
48409,"San Patricio County, Texas",10516
48411,"San Saba County, Texas",742
48413,"Schleicher County, Texas",467
48415,"Scurry County, Texas",2173
48417,"Shackelford County, Texas",436
48419,"Shelby County, Texas",5685
48421,"Sherman County, Texas",448
48423,"Smith County, Texas",34116
48425,"Somervell County, Texas",2017
48427,"Starr County, Texas",22015
48429,"Stephens County, Texas",1835
48431,"Sterling County, Texas",29
48433,"Stonewall County, Texas",169
48435,"Sutton County, Texas",531
48437,"Swisher County, Texas",1706
48439,"Tarrant County, Texas",241703
48441,"Taylor County, Texas",19764
48443,"Terrell County, Texas",84
48445,"Terry County, Texas",2208
48447,"Throckmorton County, Texas",241
48449,"Titus County, Texas",5700
48451,"Tom Green County, Texas",15164
48453,"Travis County, Texas",143785
48455,"Trinity County, Texas",2244
48457,"Tyler County, Texas",3114
48459,"Upshur County, Texas",6471
48461,"Upton County, Texas",505
48463,"Uvalde County, Texas",4737
48465,"Val Verde County, Texas",9536
48467,"Van Zandt County, Texas",7377
48469,"Victoria County, Texas",13620
48471,"Walker County, Texas",12325
48473,"Waller County, Texas",7827
48475,"Ward County, Texas",1446
48477,"Washington County, Texas",3959
48479,"Webb County, Texas",74264
48481,"Wharton County, Texas",7212
48483,"Wheeler County, Texas",965
48485,"Wichita County, Texas",19693
48487,"Wilbarger County, Texas",2390
48489,"Willacy County, Texas",5468
48491,"Williamson County, Texas",34818
48493,"Wilson County, Texas",4652
48495,"Winkler County, Texas",1167
48497,"Wise County, Texas",6983
48499,"Wood County, Texas",6257
48501,"Yoakum County, Texas",726
48503,"Young County, Texas",2183
48505,"Zapata County, Texas",4888
48507,"Zavala County, Texas",4011
