GEO_ID,NAME,S1702_C01_001E
48379,"Rains County, Texas",3062
48381,"Randall County, Texas",33768
48383,"Reagan County, Texas",826
48385,"Real County, Texas",675
48387,"Red River County, Texas",3284
48389,"Reeves County, Texas",2555
48391,"Refugio County, Texas",1741
48393,"Roberts County, Texas",234
48395,"Robertson County, Texas",4573
48397,"Rockwall County, Texas",26595
48399,"Runnels County, Texas",2691
48401,"Rusk County, Texas",13070
48403,"Sabine County, Texas",2940
48405,"San Augustine County, Texas",2486
48407,"San Jacinto County, Texas",6680
48409,"San Patricio County, Texas",16848
48411,"San Saba County, Texas",1329
48413,"Schleicher County, Texas",669
48415,"Scurry County, Texas",4004
48417,"Shackelford County, Texas",870
48419,"Shelby County, Texas",6756
48421,"Sherman County, Texas",754
48423,"Smith County, Texas",53919
48425,"Somervell County, Texas",2545
48427,"Starr County, Texas",12969
48429,"Stephens County, Texas",2283
48431,"Sterling County, Texas",357
48433,"Stonewall County, Texas",374
48435,"Sutton County, Texas",996
48437,"Swisher County, Texas",1717
48439,"Tarrant County, Texas",495825
48441,"Taylor County, Texas",32740
48443,"Terrell County, Texas",253
48445,"Terry County, Texas",2875
48447,"Throckmorton County, Texas",424
48449,"Titus County, Texas",8437
48451,"Tom Green County, Texas",27669
48453,"Travis County, Texas",269295
48455,"Trinity County, Texas",4118
48457,"Tyler County, Texas",4774
48459,"Upshur County, Texas",10041
48461,"Upton County, Texas",863
48463,"Uvalde County, Texas",6163
48465,"Val Verde County, Texas",11704
48467,"Van Zandt County, Texas",14699
48469,"Victoria County, Texas",22412
48471,"Walker County, Texas",13125
48473,"Waller County, Texas",10851
48475,"Ward County, Texas",2822
48477,"Washington County, Texas",8599
48479,"Webb County, Texas",59936
48481,"Wharton County, Texas",10555
48483,"Wheeler County, Texas",1518
48485,"Wichita County, Texas",30464
48487,"Wilbarger County, Texas",3252
48489,"Willacy County, Texas",4524
48491,"Williamson County, Texas",129957
48493,"Wilson County, Texas",12511
48495,"Winkler County, Texas",1852
48497,"Wise County, Texas",16853
48499,"Wood County, Texas",11642
48501,"Yoakum County, Texas",1985
48503,"Young County, Texas",5178
48505,"Zapata County, Texas",3284
48507,"Zavala County, Texas",2881
